DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6
20020102,3,5,10,18,21,33
20020105,1,3,8,17,31,35
20020106,1,6,31,33,35,41
20020109,11,16,17,23,27,35
20020112,1,5,15,21,27,44
20020113,15,19,21,28,38,39
20020116,3,11,15,25,26,36
20020119,12,19,23,38,39,43
20020120,2,6,10,19,33,35
20020123,3,10,14,22,29,42
20020126,1,4,15,27,31,41
20020127,1,10,19,23,24,26
20020130,3,8,20,21,26,32
20020202,7,15,23,27,43,44
20020203,3,5,10,20,22,43
20020206,5,33,36,37,41,43
20020208,1,5,13,34,37,41
20020209,6,11,12,16,17,29
20020210,9,12,17,21,25,36
20020212,4,6,10,22,24,29
20020213,4,8,28,40,44,45
20020216,10,15,24,26,31,33
20020217,3,6,9,12,27,34
20020219,9,10,17,18,34,38
20020220,2,16,26,35,36,45
20020223,2,6,21,23,24,35
20020224,5,8,14,19,26,43
20020226,2,7,24,25,26,27
20020227,1,10,19,24,27,44
20020302,9,18,22,34,35,36
20020303,18,27,30,31,36,44
20020306,1,7,18,25,27,28
20020309,4,6,30,36,40,43
20020310,8,11,14,16,26,44
20020313,15,26,27,33,39,42
20020316,2,7,15,18,30,36
20020317,3,26,33,37,39,42
20020320,3,16,18,32,36,42
20020323,12,15,16,31,34,39
20020324,19,23,26,30,32,45
20020327,1,8,28,35,38,43
20020330,8,24,29,33,34,37
20020331,4,6,8,12,29,33
20020402,6,15,27,34,36,43
20020403,3,5,10,20,22,43
20020406,1,7,27,32,33,40
20020407,15,18,24,26,34,39
20020410,15,18,23,26,28,44
20020413,9,21,24,27,29,32
20020414,10,15,17,22,24,25
20020417,2,11,17,30,38,44
20020420,5,7,13,18,19,22
20020421,3,16,24,25,26,33
20020424,18,25,31,35,42,43
20020427,2,5,16,24,35,42
20020428,4,14,17,23,29,43
20020501,5,6,13,34,39,41
20020504,4,13,23,29,39,45
20020505,3,14,15,20,30,40
20020508,10,21,29,31,39,43
20020511,1,17,25,28,35,36
20020512,4,12,26,40,42,44
20020515,6,22,26,30,32,39
20020518,9,10,29,33,42,43
20020519,4,8,13,20,23,38
20020522,2,4,15,17,28,44
20020525,5,22,26,29,36,40
20020526,13,17,20,25,31,34
20020528,4,19,24,27,41,45
20020529,6,9,11,27,35,36
20020601,9,30,34,36,41,44
