DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6
20171021,5,9,13,17,21,50
20171022,8,15,18,25,35,44
20171025,5,16,23,41,49,50
20171028,25,27,30,33,35,50
20171029,15,23,25,27,32,40
20171031,2,3,10,27,31,49
20171101,1,7,28,36,39,42
20171104,13,26,29,30,46,48
20171105,15,16,23,25,32,50
20171107,13,16,34,40,48,50
20171108,11,12,15,28,33,37
20171111,14,19,21,31,36,42
20171112,11,15,21,26,30,48
20171115,13,21,26,39,42,45
20171118,20,27,34,37,45,47
20171119,4,8,9,10,20,32
20171122,2,5,6,29,40,41
20171125,19,26,32,37,42,49
20171126,1,9,15,23,32,46
20171128,3,13,18,32,44,45
20171129,13,16,25,37,44,50
20171202,10,11,12,35,45,50
20171203,5,6,15,32,35,37
20171205,6,24,32,34,43,44
20171206,9,11,13,25,26,38
20171209,9,10,14,28,32,35
20171210,1,13,16,28,43,45
20171213,3,5,15,26,29,35
20171216,23,24,30,35,37,42
20171217,6,12,32,37,38,50
20171220,6,9,19,31,33,49
20171223,2,18,22,25,31,37
20171224,20,21,29,46,49,50
20171226,1,2,9,33,35,46
20171227,4,7,22,33,41,49
20171230,1,22,39,44,46,49
20171231,9,29,37,41,42,43
20180103,3,8,12,40,42,47
20180106,1,27,39,40,41,43
20180107,10,11,24,33,42,45
20180110,28,29,30,34,42,48
20180113,8,22,27,31,33,50
20180114,7,12,26,30,33,35
20180116,1,3,23,27,28,42
20180117,3,8,11,27,29,37
20180120,6,16,17,21,26,38
20180121,4,7,17,33,38,43
20180124,5,16,31,36,43,46
20180127,17,23,28,35,48,49
20180128,9,15,21,23,40,44
20180130,10,12,22,23,32,48
20180131,22,25,28,31,39,41
20180203,12,20,23,33,37,41
20180204,7,10,16,18,29,39
20180206,4,21,26,38,42,47
20180207,14,27,29,37,46,47
20180210,1,6,9,17,20,23
20180211,2,18,23,26,31,36
20180213,12,17,30,32,46,49
20180214,11,13,27,28,38,42
20180217,2,3,30,34,37,49
20180218,29,33,36,46,47,50
20180220,8,21,24,34,37,49
20180221,2,10,12,16,40,44
20180224,1,10,30,39,45,47
20180225,10,13,23,37,41,45
20180227,27,29,32,43,46,48
20180228,13,22,24,29,31,49
20180303,25,26,27,31,39,42
20180304,22,26,32,41,43,48
20180306,6,13,16,32,34,45
20180307,4,13,16,21,39,49
20180310,14,22,23,27,32,46
20180311,17,19,21,24,25,27
20180314,15,17,33,36,38,44
20180317,6,7,25,31,47,49
20180318,13,27,29,39,46,47
20180321,3,7,15,16,48,49
20180324,14,17,29,35,39,44
20180325,11,20,21,38,40,49
20180328,7,10,17,21,29,33
20180331,8,9,10,11,34,47
20180401,12,17,21,26,33,37
20180403,2,9,21,24,36,46
20180404,8,18,25,46,47,49
20180407,9,24,29,35,36,42
20180408,6,21,22,24,34,36
20180411,9,17,22,29,35,50
20180414,11,15,32,35,48,49
20180415,17,28,34,36,39,40
20180418,6,12,24,33,34,50
20180421,1,6,17,22,33,43
20180422,23,28,31,40,42,43
20180425,1,20,22,30,31,33
20180428,6,15,31,38,40,49
20180429,9,26,30,36,43,44
20180501,2,12,18,29,38,47
20180502,1,2,5,11,23,24
20180505,5,8,15,32,42,45
20180506,3,22,23,29,45,47
20180509,1,7,8,33,36,50
20180512,5,12,16,25,35,36
20180513,13,15,26,30,41,48
20180516,6,14,22,23,31,32
20180519,6,21,23,40,41,43
20180520,8,21,36,37,42,43
20180523,11,13,18,41,49,50
20180526,24,31,36,41,43,50
20180527,14,15,17,19,20,23
20180530,17,38,43,45,47,49
20180602,13,22,25,37,39,45
20180603,2,15,16,18,21,36
20180606,14,26,35,40,41,42
20180609,6,8,17,18,40,41
20180610,19,21,22,26,33,41
20180613,1,5,20,24,34,45
20180616,8,10,31,32,33,48
20180617,2,10,15,16,31,47
20180620,1,14,27,42,44,48
20180623,3,24,41,45,46,47
20180624,20,28,29,33,36,38
20180626,4,11,17,18,25,39
20180627,5,14,20,33,36,49
20180630,6,8,15,19,31,48
20180701,7,26,30,37,44,49
20180703,8,9,10,12,37,40
20180704,3,8,14,30,32,42
20180707,3,4,14,17,34,45
20180708,9,12,13,18,35,47
20180711,3,28,29,33,43,45
20180714,1,17,32,35,43,45
20180715,3,26,27,29,37,39
20180718,12,20,28,38,40,43
20180721,3,4,14,24,31,38
20180722,2,4,7,18,35,36
20180725,5,10,31,36,38,42
20180728,2,6,9,11,29,43
20180729,3,6,34,38,43,50
20180731,9,11,17,26,30,44
20180801,1,2,3,8,15,33
20180804,14,20,25,26,31,46
20180805,8,18,19,20,30,50
20180807,7,8,16,36,46,48
20180808,15,18,22,37,41,50
20180811,1,3,15,25,29,38
20180812,9,23,24,27,32,46
20180815,5,12,13,20,31,39
20180818,4,26,35,37,39,42
20180819,3,4,8,15,25,50
20180822,7,12,17,29,34,44
20180825,13,16,22,30,35,46
20180826,4,15,19,21,26,44
20180828,4,5,17,29,37,40
20180829,9,15,20,32,35,46
20180901,2,13,18,20,26,32
20180902,5,13,14,33,36,50
20180904,2,8,19,39,40,49
20180905,7,20,21,30,32,49
20180908,11,13,27,34,42,49
20180909,1,11,19,33,37,48
20180912,13,14,16,25,29,32
20180915,1,8,10,32,43,47
20180916,3,8,18,30,43,49
20180919,9,10,12,25,33,46
