DrawDate,DrawnNo1,DrawnNo2,DrawnNo3,DrawnNo4,DrawnNo5,DrawnNo6
20100320,18,26,27,48,51,53
20100321,6,15,25,27,30,37
20100324,14,17,21,31,38,46
20100327,15,18,37,39,44,52
20100328,2,8,24,31,33,50
20100330,16,26,27,39,40,46
20100331,16,19,28,36,47,54
20100403,11,21,25,39,43,49
20100404,1,22,23,48,49,57
20100406,10,12,36,40,45,47
20100407,2,6,36,38,49,50
20100410,19,22,34,41,48,52
20100411,1,21,29,30,35,46
20100414,3,9,28,33,37,54
20100417,13,14,18,29,30,49
20100418,7,12,18,31,41,49
20100421,10,11,22,29,36,51
20100424,2,3,25,26,29,52
20100425,10,13,18,31,50,53
20100427,1,9,12,27,45,50
20100428,2,20,21,22,31,34
20100501,7,19,22,25,44,49
20100502,5,23,26,27,43,49
20100504,13,18,22,40,48,55
20100505,30,33,39,41,43,54
20100508,6,30,46,48,56,58
20100509,8,10,15,21,31,32
20100512,17,39,43,44,50,54
20100515,1,13,17,21,37,58
20100516,11,28,30,37,39,58
20100519,1,14,20,42,48,49
20100522,5,7,10,11,13,27
20100523,12,16,42,43,48,49
20100526,10,27,30,36,38,40
20100529,8,14,29,41,43,57
20100530,14,26,27,40,41,50
20100601,5,21,22,24,27,32
20100602,1,16,21,41,49,51
20100605,4,17,23,34,41,43
20100606,2,18,39,45,46,55
20100609,5,11,29,32,47,58
20100612,3,4,21,26,54,58
20100613,6,7,47,50,52,53
20100616,14,25,39,42,47,50
20100619,6,12,15,18,25,58
20100620,8,22,32,43,45,51
20100623,5,6,22,50,52,55
20100626,6,10,20,29,41,54
20100627,6,18,19,41,45,47
20100629,13,19,30,35,38,58
20100630,19,20,31,33,47,58
20100703,5,15,19,20,45,49
20100704,6,14,31,35,43,44
20100706,2,4,8,18,45,48
20100707,2,8,33,36,41,44
20100710,7,11,27,28,37,40
20100711,4,21,31,44,51,58
20100714,7,18,35,41,43,50
20100717,3,4,34,37,38,57
20100718,8,16,44,45,46,52
